entity,entity_type,metric,value,period,source
ANZ,standalone,Total Capital Ratio,14.4,2018-Q1,rbnz-dashboard
ANZ,standalone,CET1 Ratio,11,2018-Q1,rbnz-dashboard
ANZ,standalone,Tier 1 Capital Ratio,14.4,2018-Q1,rbnz-dashboard
ANZ,standalone,Total Risk-Weighted Assets,81071.8,2018-Q1,rbnz-dashboard
ANZ,standalone,Total Non-Performing Loans,540.9,2018-Q1,rbnz-dashboard
ANZ,standalone,NPL Ratio,0.4,2018-Q1,rbnz-dashboard
ANZ,standalone,Individual Provisions,174.6,2018-Q1,rbnz-dashboard
ANZ,standalone,Collective Provisions,414.7,2018-Q1,rbnz-dashboard
ANZ,standalone,Return on Assets,1.2,2018-Q1,rbnz-dashboard
ANZ,standalone,Return on Equity,13.7,2018-Q1,rbnz-dashboard
ANZ,standalone,NIM,2.2,2018-Q1,rbnz-dashboard
ANZ,standalone,Net Interest Income,771,2018-Q1,rbnz-dashboard
ANZ,standalone,Trading and Hedging Gains,45,2018-Q1,rbnz-dashboard
ANZ,standalone,Fees and Commission Income,161,2018-Q1,rbnz-dashboard
ANZ,standalone,Other Income,59,2018-Q1,rbnz-dashboard
ANZ,standalone,Operating Expenses,361,2018-Q1,rbnz-dashboard
ANZ,standalone,Profit After Tax,448,2018-Q1,rbnz-dashboard
ANZ,standalone,Total Assets,156362,2018-Q1,rbnz-dashboard
ANZ,standalone,Cash Position,3770.9,2018-Q1,rbnz-dashboard
ANZ,standalone,Net Loans and Advances,122718.7,2018-Q1,rbnz-dashboard
ANZ,standalone,Deposits,100771.2,2018-Q1,rbnz-dashboard
ANZ,standalone,Equity,12933.1,2018-Q1,rbnz-dashboard
ANZ,standalone,Core Funding Ratio (CFR),89.8,2018-Q1,rbnz-dashboard
ANZ,standalone,1-Month Mismatch Ratio,5.5,2018-Q1,rbnz-dashboard
ANZ,standalone,1-Week Mismatch Ratio,5.6,2018-Q1,rbnz-dashboard
ANZ,standalone,Top 5 Non-Bank Credit Exposures,47.6,2018-Q1,rbnz-dashboard
ANZ,standalone,Top 5 Bank Credit Exposures,61.9,2018-Q1,rbnz-dashboard
ANZ,standalone,Bank Exposures ≥10% of CET1,3,2018-Q1,rbnz-dashboard
ANZ Group,group,Total Capital Ratio,,2018-Q1,rbnz-dashboard
ANZ Group,group,CET1 Ratio,,2018-Q1,rbnz-dashboard
ANZ Group,group,Tier 1 Capital Ratio,,2018-Q1,rbnz-dashboard
ANZ Group,group,Total Risk-Weighted Assets,,2018-Q1,rbnz-dashboard
