entity,metric,value,period,source,confidence
ANZ,Profit per Employee,236818.18,2018-Q3,productivity,triangulated
ANZ,Gross Income per Employee,499090.91,2018-Q3,productivity,triangulated
ANZ,Expenses per Employee,180000.0,2018-Q3,productivity,triangulated
ANZ,Profit per Customer,801.54,2018-Q3,productivity,estimated
ANZ,Gross Income per Customer,1689.23,2018-Q3,productivity,estimated
ANZ,Expenses per Customer,609.23,2018-Q3,productivity,estimated
ANZ,Profit per Employee,212090.91,2018-Q4,productivity,triangulated
ANZ,Gross Income per Employee,466090.91,2018-Q4,productivity,triangulated
ANZ,Expenses per Employee,175045.45,2018-Q4,productivity,triangulated
ANZ,Profit per Customer,717.85,2018-Q4,productivity,estimated
ANZ,Gross Income per Customer,1577.54,2018-Q4,productivity,estimated
ANZ,Expenses per Customer,592.46,2018-Q4,productivity,estimated
ANZ,Profit per Employee,219090.91,2019-Q1,productivity,triangulated
ANZ,Gross Income per Employee,469409.09,2019-Q1,productivity,triangulated
ANZ,Expenses per Employee,163318.18,2019-Q1,productivity,triangulated
ANZ,Profit per Customer,741.54,2019-Q1,productivity,estimated
ANZ,Gross Income per Customer,1588.77,2019-Q1,productivity,estimated
ANZ,Expenses per Customer,552.77,2019-Q1,productivity,estimated
ANZ,Profit per Employee,225863.64,2019-Q2,productivity,triangulated
ANZ,Gross Income per Employee,495227.27,2019-Q2,productivity,triangulated
ANZ,Expenses per Employee,171272.73,2019-Q2,productivity,triangulated
ANZ,Profit per Customer,764.46,2019-Q2,productivity,estimated
ANZ,Gross Income per Customer,1676.15,2019-Q2,productivity,estimated
ANZ,Expenses per Customer,579.69,2019-Q2,productivity,estimated
ANZ,Profit per Employee,173720.93,2019-Q3,productivity,triangulated
ANZ,Gross Income per Employee,484930.23,2019-Q3,productivity,triangulated
ANZ,Expenses per Employee,226558.14,2019-Q3,productivity,triangulated
ANZ,Profit per Customer,563.77,2019-Q3,productivity,estimated
ANZ,Gross Income per Customer,1573.74,2019-Q3,productivity,estimated
ANZ,Expenses per Customer,735.25,2019-Q3,productivity,estimated
ANZ,Profit per Employee,182558.14,2019-Q4,productivity,triangulated
ANZ,Gross Income per Employee,460511.63,2019-Q4,productivity,triangulated
ANZ,Expenses per Employee,199162.79,2019-Q4,productivity,triangulated
ANZ,Profit per Customer,592.45,2019-Q4,productivity,estimated
ANZ,Gross Income per Customer,1494.49,2019-Q4,productivity,estimated
ANZ,Expenses per Customer,646.34,2019-Q4,productivity,estimated
ANZ,Profit per Employee,181906.98,2020-Q1,productivity,triangulated
ANZ,Gross Income per Employee,538883.72,2020-Q1,productivity,triangulated
ANZ,Expenses per Employee,189441.86,2020-Q1,productivity,triangulated
ANZ,Profit per Customer,590.34,2020-Q1,productivity,estimated
ANZ,Gross Income per Customer,1748.83,2020-Q1,productivity,estimated
ANZ,Expenses per Customer,614.79,2020-Q1,productivity,estimated
ANZ,Profit per Employee,163674.42,2020-Q2,productivity,triangulated
ANZ,Gross Income per Employee,455534.88,2020-Q2,productivity,triangulated
ANZ,Expenses per Employee,193348.84,2020-Q2,productivity,triangulated
ANZ,Profit per Customer,531.17,2020-Q2,productivity,estimated
ANZ,Gross Income per Customer,1478.34,2020-Q2,productivity,estimated
ANZ,Expenses per Customer,627.47,2020-Q2,productivity,estimated
ANZ,Profit per Employee,115658.54,2020-Q3,productivity,triangulated
ANZ,Gross Income per Employee,459268.29,2020-Q3,productivity,triangulated
ANZ,Expenses per Employee,244536.59,2020-Q3,productivity,triangulated
ANZ,Profit per Customer,351.26,2020-Q3,productivity,estimated
ANZ,Gross Income per Customer,1394.81,2020-Q3,productivity,estimated
ANZ,Expenses per Customer,742.67,2020-Q3,productivity,estimated
ANZ,Profit per Employee,191658.54,2020-Q4,productivity,triangulated
ANZ,Gross Income per Employee,454682.93,2020-Q4,productivity,triangulated
ANZ,Expenses per Employee,194097.56,2020-Q4,productivity,triangulated
ANZ,Profit per Customer,582.07,2020-Q4,productivity,estimated
ANZ,Gross Income per Customer,1380.89,2020-Q4,productivity,estimated
ANZ,Expenses per Customer,589.48,2020-Q4,productivity,estimated
ANZ,Profit per Employee,270195.12,2021-Q1,productivity,triangulated
ANZ,Gross Income per Employee,526390.24,2021-Q1,productivity,triangulated
ANZ,Expenses per Employee,182390.24,2021-Q1,productivity,triangulated
ANZ,Profit per Customer,820.59,2021-Q1,productivity,estimated
ANZ,Gross Income per Customer,1598.67,2021-Q1,productivity,estimated
ANZ,Expenses per Customer,553.93,2021-Q1,productivity,estimated
ANZ,Profit per Employee,239707.32,2021-Q2,productivity,triangulated
